day_id	week_id	month_id
20230401	20230326-20230401	202304
20230402	20230402-20230408	202304
20230403	20230402-20230408	202304
20230404	20230402-20230408	202304
20230405	20230402-20230408	202304
20230406	20230402-20230408	202304
20230407	20230402-20230408	202304
20230408	20230402-20230408	202304
20230409	20230409-20230415	202304
20230410	20230409-20230415	202304
20230411	20230409-20230415	202304
20230412	20230409-20230415	202304
20230413	20230409-20230415	202304
20230414	20230409-20230415	202304
20230415	20230409-20230415	202304
20230416	20230416-20230422	202304
20230417	20230416-20230422	202304
20230418	20230416-20230422	202304
20230419	20230416-20230422	202304
20230420	20230416-20230422	202304
20230421	20230416-20230422	202304
20230422	20230416-20230422	202304
20230423	20230423-20230429	202304
20230424	20230423-20230429	202304
20230425	20230423-20230429	202304
20230426	20230423-20230429	202304
20230427	20230423-20230429	202304
20230428	20230423-20230429	202304
20230429	20230423-20230429	202304
20230430	20230430-20230506	202304
20230501	20230430-20230506	202305
20230502	20230430-20230506	202305
20230503	20230430-20230506	202305
20230504	20230430-20230506	202305
20230505	20230430-20230506	202305
20230506	20230430-20230506	202305
20230507	20230507-20230513	202305
20230508	20230507-20230513	202305
20230509	20230507-20230513	202305
20230510	20230507-20230513	202305
20230511	20230507-20230513	202305
20230512	20230507-20230513	202305
20230513	20230507-20230513	202305
20230514	20230514-20230520	202305
20230515	20230514-20230520	202305
20230516	20230514-20230520	202305
20230517	20230514-20230520	202305
20230518	20230514-20230520	202305
20230519	20230514-20230520	202305
20230520	20230514-20230520	202305
20230521	20230521-20230527	202305
20230522	20230521-20230527	202305
20230523	20230521-20230527	202305
20230524	20230521-20230527	202305
20230525	20230521-20230527	202305
20230526	20230521-20230527	202305
20230527	20230521-20230527	202305
20230528	20230528-20230603	202305
20230529	20230528-20230603	202305
20230530	20230528-20230603	202305
20230531	20230528-20230603	202305
